title_index,user_index,rating
241,4637,5
241,9238,5
241,7214,5
241,4050,5
241,9878,1
241,7839,5
241,9829,2
241,8202,1
241,8211,5
241,9100,5
241,1239,5
241,8830,5
241,4219,5
241,4920,5
241,314,5
241,6486,5
241,9282,5
241,1534,5
241,4935,5
241,3632,5
241,9864,5
241,925,1
241,10153,1
241,8072,5
241,7558,5
6,1198,2
6,10619,1
6,8117,2
6,5987,1
6,10040,2
6,3115,5
6,406,2
6,5154,5
6,6517,2
6,7736,1
6,9922,5
6,7303,1
6,5142,5
6,5746,1
6,6746,5
6,10526,5
6,8018,1
6,1060,5
6,10553,3
6,5579,5
6,9657,5
6,2337,5
6,3155,5
6,3441,5
6,2632,3
296,9312,4
296,10541,3
296,4094,3
296,3489,1
296,3735,3
296,7984,2
296,1606,1
296,7731,1
296,5449,3
296,3894,5
296,633,5
296,2720,5
296,9480,5
296,7923,5
296,45,5
296,6967,5
296,9707,5
296,6156,3
296,10070,2
296,10112,2
311,7947,4
311,6796,5
311,9627,5
311,10444,5
311,3498,5
311,1916,5
311,304,5
578,6777,2
578,1715,2
578,4307,1
578,5858,2
578,1946,1
578,6447,2
578,5914,1
578,3998,1
578,1795,1
578,7067,1
578,9978,2
578,8429,3
578,6822,3
578,2677,2
578,9802,5
578,6454,5
578,166,5
578,144,5
578,9510,5
578,5718,5
578,4723,5
578,4832,5
578,1276,5
578,3210,5
578,7894,5
336,7167,5
336,678,5
336,2831,5
336,7524,5
336,5042,5
336,10521,5
336,5208,5
336,10485,5
336,959,4
278,2121,4
278,3834,5
278,10533,5
278,1119,5
278,10438,5
278,3899,5
278,10154,5
278,5815,5
278,3368,5
278,6661,4
278,6541,4
278,4392,4
104,3877,3
104,1353,4
104,10471,4
104,5322,5
104,9939,5
104,4693,5
104,2500,5
104,3439,5
104,3819,5
104,8296,5
104,6632,5
104,628,5
104,3326,4
104,5172,5
104,8453,5
104,2036,5
104,6019,5
104,912,5
104,9058,5
104,7590,5
104,2373,5
104,9763,5
104,4442,4
104,2967,5
104,9722,5
737,10559,3
737,708,5
737,2601,5
737,519,5
737,1064,5
737,1079,5
737,8029,5
737,7106,4
737,10411,5
737,7038,5
737,1482,4
737,5593,5
737,5773,5
737,7967,5
737,3205,5
737,1763,1
737,1044,1
737,653,5
737,4066,5
737,3126,5
737,8388,5
737,9899,5
737,867,5
737,4195,5
737,8623,5
490,5979,1
490,5386,2
490,8208,1
490,820,2
490,441,2
490,3723,1
490,3206,1
490,8928,3
490,10474,2
490,751,1
490,6023,1
490,4803,3
490,9805,2
490,5426,1
490,7374,4
490,5826,2
490,8493,1
490,9979,3
490,9136,1
490,4023,5
490,3761,3
490,4383,2
490,2985,1
490,7861,1
256,5347,1
256,1426,1
256,8591,1
256,7576,1
256,5606,1
256,8672,5
256,320,5
256,6532,5
256,3624,1
256,9626,1
256,9617,1
256,8486,5
256,6399,5
256,1804,5
256,9062,4
256,6698,3
256,7061,1
256,4772,1
256,8798,5
256,10510,5
256,5756,5
256,7414,5
256,9381,5
256,9553,5
256,9159,5
464,7086,5
464,8391,5
464,10177,5
464,4735,5
464,3909,4
464,9040,2
464,7020,1
464,5307,1
403,5839,2
403,1525,5
403,2199,5
403,8654,5
403,6288,5
403,10270,5
195,996,5
195,4317,5
195,1721,5
195,5135,5
195,7438,5
195,4597,5
195,7723,5
195,4496,5
195,8069,5
195,4858,5
195,2469,5
195,106,5
195,5804,5
195,637,5
195,4122,5
195,6441,5
195,5177,5
195,3164,5
195,6853,5
195,6707,5
195,7669,5
195,6674,5
195,3093,5
195,3805,4
195,9009,5
24,7650,5
24,9834,5
24,1994,5
24,2550,5
24,4194,5
24,3427,5
24,690,5
24,916,5
24,9708,5
24,5654,5
24,1104,5
24,2571,5
24,10306,5
24,3354,5
24,1001,5
24,1510,5
24,8346,4
645,4190,2
645,3549,1
645,6607,3
645,10246,5
645,7625,5
645,6498,5
645,859,5
645,3534,5
645,235,3
645,5147,3
645,1103,5
645,9958,5
645,5403,5
645,7529,5
645,8930,5
645,2704,5
645,5014,5
645,4084,5
645,5155,5
645,8504,5
645,840,5
645,3436,5
645,1675,5
645,5893,4
645,1199,4
374,9742,5
374,2228,5
374,7513,5
374,3748,5
374,8394,5
374,2353,5
374,8403,4
374,4192,4
374,1508,5
374,2304,5
374,6948,5
374,4295,5
374,4960,5
374,3976,5
374,5615,5
374,4326,5
374,7959,5
374,957,2
21,3926,2
21,150,2
21,4484,1
21,6735,1
21,3594,1
21,3282,5
21,7128,1
21,7609,5
21,2661,5
21,1655,5
21,1688,5
21,9780,1
21,1175,1
21,9748,5
21,4686,5
21,5239,2
21,7188,5
21,4847,5
21,3686,5
21,5714,5
21,7164,5
21,8537,5
21,9842,5
21,1485,5
21,4337,5
524,2461,1
524,8378,5
524,4582,5
524,10223,5
524,6993,5
524,6550,5
524,963,4
524,6803,5
524,7242,5
524,4267,5
524,5725,5
524,9876,5
524,7352,4
524,9137,2
524,8625,1
524,6812,1
524,3187,5
524,3421,5
524,8305,5
524,5280,5
524,9155,5
524,6410,5
524,1521,5
524,8396,5
524,9514,5
107,10050,1
107,1356,5
107,1166,5
107,7878,2
107,343,3
107,5341,1
107,7560,5
107,9334,5
107,5285,3
107,3171,1
107,10126,5
107,10044,5
107,5560,5
107,2543,4
107,9181,5
107,1154,5
107,7028,5
107,8139,5
107,5296,5
107,9189,5
107,5702,3
107,361,3
107,2489,5
107,8493,5
107,3407,5
500,8216,2
500,2120,1
500,2921,1
500,2892,3
500,4730,2
500,4910,1
500,7034,3
500,751,1
500,739,2
500,6809,2
500,4566,1
500,9515,5
500,3624,5
500,4221,1
500,6813,5
500,9767,1
500,4480,5
500,1203,1
500,3915,5
500,8361,1
500,4889,1
500,7967,5
500,5782,4
500,683,3
500,5612,5
115,4296,1
115,245,2
115,7840,3
115,8913,4
115,8526,3
115,382,1
115,7269,5
115,2610,5
115,9810,5
115,8196,5
115,759,5
115,4762,4
115,10388,4
115,4879,1
115,2680,1
115,10038,5
115,9673,5
115,2701,5
115,5012,5
115,97,5
115,5298,5
115,9567,5
115,9064,5
115,4587,5
115,6485,5
199,2627,2
199,660,4
199,8729,5
199,4947,5
199,4868,5
199,7213,5
199,1210,5
199,7933,5
199,10340,5
199,1901,5
199,6087,5
199,9986,5
199,3388,5
199,4068,5
199,2343,4
199,9416,4
199,592,4
199,4849,4
199,9230,3
199,7283,2
565,8701,3
565,9386,5
565,9286,5
565,5075,5
565,407,5
565,8695,5
565,10206,5
565,6651,5
565,6797,5
565,5431,5
565,9743,5
565,9148,5
565,9210,5
565,471,4
565,4789,4
205,5180,4
205,10317,5
205,6311,5
205,3285,5
205,5170,1
205,2375,3
205,4398,5
205,6875,5
205,4463,5
205,9322,5
205,7015,5
205,1115,5
205,9712,5
205,6725,5
205,5897,5
205,783,5
205,9355,5
205,1644,5
205,4048,5
205,5389,5
205,8899,5
205,10183,5
205,842,5
205,7368,5
205,4821,5
214,1562,5
214,10263,5
214,917,5
214,9094,5
214,2066,5
214,8237,5
214,597,5
214,621,5
214,6004,5
214,6591,5
214,1111,5
214,6066,5
214,6421,5
214,4479,5
214,5588,5
214,4357,5
214,3831,5
214,5406,5
214,87,5
214,4592,5
214,4850,5
214,2459,5
214,6840,5
214,10630,5
717,2746,3
717,6043,1
717,642,2
717,9414,1
717,7583,1
717,5687,5
717,1967,5
717,1857,3
717,8570,4
717,2639,3
717,9255,3
717,8339,2
717,2239,2
717,3997,1
717,4499,5
717,3977,4
717,2638,3
717,6890,3
717,2189,3
717,2445,3
717,10325,1
717,2225,5
717,69,5
717,9439,5
717,3664,5
692,6241,5
692,6078,5
692,5755,5
692,3193,5
692,315,1
692,2318,5
692,9926,5
692,3095,5
692,7263,5
692,884,5
692,643,5
692,2618,5
692,4687,5
692,2314,5
692,1867,5
692,2470,5
692,2763,5
692,4987,5
692,5369,5
692,5746,5
692,2529,5
692,2003,5
692,1027,5
692,600,5
692,5276,5
246,4973,5
246,4800,5
246,7710,5
246,2802,5
246,5436,3
246,10481,5
246,7853,5
246,3497,5
246,2940,4
246,8831,4
246,2190,4
262,2567,1
262,2033,5
262,8206,5
262,5228,5
262,5181,5
262,2234,5
262,1249,4
262,10629,4
262,8473,5
262,645,4
262,1828,4
262,1352,4
262,6350,4
262,7429,4
262,1121,5
262,2967,5
262,9116,5
262,8881,5
262,4360,5
262,98,5
262,6231,5
262,9796,5
262,2295,5
262,8870,5
262,5902,5
526,4017,3
526,9497,2
526,7869,4
526,8843,2
526,9808,1
526,5927,5
526,2879,5
526,2784,5
526,8443,5
526,6108,5
526,10075,5
526,5555,5
526,7918,5
526,5125,5
526,10379,4
526,8856,4
526,6379,2
526,585,2
526,8983,1
526,5938,5
526,9204,5
526,5646,5
526,9523,5
526,3242,5
526,9687,5
686,8487,5
686,4647,5
686,3840,5
686,8121,5
686,10283,5
686,3605,1
686,6028,5
686,6092,5
686,2341,5
686,9699,5
686,8514,5
686,9481,5
686,10382,5
686,8936,5
686,2210,5
686,4346,5
686,4123,5
686,4851,5
686,6908,5
686,4741,5
686,1025,5
686,10294,5
686,1369,5
686,5255,5
686,2592,5
138,9734,5
138,764,5
138,7397,5
138,3262,5
138,6578,5
138,6576,5
138,3992,5
138,8945,5
138,7829,5
138,627,5
138,5056,5
138,4028,5
138,3125,5
138,4399,5
138,751,5
138,4554,5
138,1063,5
138,1038,5
138,9215,5
138,1441,5
138,5962,5
138,5575,5
138,2995,5
138,2438,4
138,4290,4
333,8398,2
333,9378,5
333,8530,3
333,9152,5
333,4423,5
333,10403,3
333,9358,5
333,3119,5
333,7499,5
333,4785,5
333,2185,5
333,1288,5
333,10396,5
333,4086,5
333,2800,5
333,2426,5
333,7854,4
333,3211,4
333,9529,4
333,5724,4
333,10620,2
480,10400,5
480,9449,5
480,751,5
480,4256,5
480,3145,5
480,6289,5
480,10624,4
480,8369,2
480,5956,2
480,540,2
480,8320,5
480,6012,5
480,8995,5
480,4471,5
480,5970,5
480,1604,5
480,6901,5
480,2926,5
480,3456,5
480,4992,5
480,9395,5
480,2094,5
480,5995,5
480,9494,5
480,2780,5
672,2600,3
672,3176,3
672,4302,5
672,7901,5
672,92,5
672,7745,5
672,4366,5
672,4636,5
672,6001,5
672,9953,1
672,9357,5
672,2983,5
672,1070,5
672,6968,5
672,6072,5
672,2229,5
672,6314,5
672,7123,5
672,7359,5
672,3855,5
672,4722,5
672,8755,5
672,6064,5
672,4410,5
672,8173,5
462,3247,5
462,10307,5
462,6850,5
462,765,5
462,2105,5
462,6904,5
462,10496,5
462,6638,5
462,5503,5
462,948,5
462,2652,5
462,8575,5
462,8676,5
462,572,5
462,6120,5
462,1117,5
462,9719,5
462,2973,5
462,8586,5
462,7464,5
462,2841,5
462,4820,5
462,10319,5
462,5422,5
462,527,5
234,4380,1
234,4697,1
234,1363,5
234,9031,5
234,4881,5
234,5047,5
234,8828,5
234,6254,5
234,8131,5
234,10558,5
234,4994,4
234,8764,4
234,1929,4
234,4709,4
308,1551,1
308,7435,5
308,9328,5
308,1838,5
308,229,5
308,6313,5
308,7784,5
308,8384,5
308,3536,5
308,726,5
308,5873,5
308,565,5
308,438,5
308,686,5
308,2439,5
308,5786,5
308,2736,5
308,1544,5
308,3891,5
308,4512,5
308,1817,5
308,3043,5
308,6384,5
308,855,5
308,5701,5
167,2111,2
167,3590,3
167,9927,1
167,466,3
167,5161,2
167,7577,3
167,1073,1
167,7501,5
167,1275,5
167,4489,3
167,8334,5
167,7820,1
167,9288,5
167,5107,3
167,7927,1
167,2900,5
167,3850,5
167,9621,5
167,3475,5
167,9957,2
167,2645,2
167,3903,2
167,4717,5
167,2880,5
167,5686,5
650,9610,5
650,1498,5
650,10405,5
650,5541,5
650,7243,5
650,8091,5
650,7947,5
650,2478,5
650,3512,5
650,9715,5
650,2019,5
650,9364,5
650,7416,5
650,9500,5
650,5867,5
650,847,5
650,7751,5
650,2498,5
650,6778,5
650,10147,5
650,3967,5
650,7835,5
650,2979,4
650,1584,4
650,5295,4
656,741,5
656,8435,5
656,6056,4
656,9278,3
656,7880,5
656,2749,5
656,4274,5
656,10107,5
656,6515,5
656,9551,5
656,5967,5
656,8957,5
656,10360,5
656,5694,5
656,10518,5
656,1347,5
656,763,5
656,10395,5
656,5108,5
656,10431,5
656,8155,5
656,8190,5
656,5794,5
656,5987,5
656,1531,5
574,275,3
574,10207,5
574,4683,5
574,1421,5
574,1381,5
574,6886,5
574,7468,4
574,5114,4
574,4762,4
574,8376,4
574,375,2
574,9248,5
574,127,5
574,676,5
574,3961,5
574,6623,5
574,8921,5
574,3716,5
574,5433,5
574,5942,5
574,8013,5
574,8268,5
574,2819,5
574,6844,5
574,1068,5
355,9457,5
355,2860,5
355,4988,5
355,8292,5
355,4643,5
355,2765,5
355,8977,5
355,7805,5
355,10072,5
355,490,5
355,9739,5
355,2095,5
355,2039,5
355,7193,5
355,3416,5
355,7425,5
355,2602,5
355,4976,5
355,8135,5
355,10446,5
355,8265,5
355,4111,5
355,46,5
355,977,5
355,1803,5
733,7365,5
733,6854,5
733,8545,5
733,3668,3
733,9208,5
733,6719,5
733,8295,5
733,2380,5
733,6344,5
733,3160,5
733,3462,4
733,9981,3
733,5548,3
733,4446,5
733,5833,5
733,5253,5
733,160,5
733,2869,5
733,1042,5
733,272,5
733,8096,5
733,6899,5
733,6575,5
733,1409,5
733,2377,5
509,5551,3
509,7284,5
509,609,5
509,7702,5
509,6804,4
509,7472,4
509,10156,1
509,8447,5
509,2207,5
509,3203,5
509,298,5
509,2778,5
509,7124,5
509,6656,5
509,10315,5
509,1575,5
509,9379,5
509,5834,5
509,731,5
509,9412,5
509,5957,4
509,891,4
509,5103,4
509,8285,4
509,8071,4
534,10105,3
534,9315,2
534,2799,4
534,6380,3
534,4619,3
534,550,5
534,4368,5
534,3779,5
534,8363,3
