title_index,level,organization,organization_link,rating,rating_count,course_type,skills,instructors,links
674,Intermediate level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.7,230,course,,"['John Rofrano', 'Upkar Lidder']","['https://www.coursera.org/instructor/johnrofrano', 'https://www.coursera.org/instructor/upkar-lidder']"
402,Beginner level,DeepLearning.AI,https://www.coursera.org/partners/deeplearning-ai,4.8,4200,course,"['Cloud Applications', 'Generative AI', 'AI Product Strategy', 'Business Process Automation', 'Automation', 'Large Language Modeling', 'Artificial Intelligence', 'Prompt Engineering', 'Responsible AI']",['Andrew Ng'],['https://www.coursera.org/instructor/andrewng']
672,Beginner level,Google,https://www.coursera.org/partners/google,4.7,34534,course,"['Data-Driven Decision-Making', 'Data Analysis', 'Stakeholder Management', 'Smart Goals', 'Spreadsheet Software', 'Problem Solving', 'Data Presentation', 'Quantitative Research', 'Analytical Skills', 'Business Analysis', 'Dashboard']",['Google Career Certificates'],['https://www.coursera.org/instructor/google-career-certificates']
408,Advanced level,Duke University,https://www.coursera.org/partners/duke,3.9,56,course,"['Data Processing', 'Snowflake Schema', 'Apache Spark', 'DevOps', 'Python Programming', 'SQL', 'Big Data', 'Data Quality', 'Data Pipelines', 'Apache Hadoop', 'Data Integration', 'Data Transformation', 'PySpark', 'MLOps (Machine Learning Operations)', 'Databricks', 'Data Warehousing']","['Noah Gift', 'Kennedy Behrman', 'Matt Harrison']","['https://www.coursera.org/instructor/noahgift', 'https://www.coursera.org/instructor/~108047', 'https://www.coursera.org/instructor/~561550', 'https://www.coursera.org/instructor/noahgift', 'https://www.coursera.org/instructor/~108047', 'https://www.coursera.org/instructor/~561550']"
87,Beginner level,Corporate Finance Institute,https://www.coursera.org/partners/cfi,4.7,31,course,"['Financial Planning', 'Financial Services', 'Asset Management', 'Consultative Approaches', 'Risk Management Framework', 'Wealth Management', 'Investment Management', 'Client Services', 'Compensation Management', 'Market Intelligence']",['CFI (Corporate Finance Institute)'],['https://www.coursera.org/instructor/~144114998']
606,Advanced level,Google,https://www.coursera.org/partners/google,4.7,565,course,"['Regression Analysis', 'Machine Learning', 'Supervised Learning', 'Advanced Analytics', 'Statistical Analysis', 'Statistical Modeling', 'Predictive Modeling', 'Analytical Skills', 'Variance Analysis', 'Scikit Learn (Machine Learning Library)', 'Python Programming', 'Correlation Analysis', 'Business Analytics', 'Statistical Hypothesis Testing', 'Probability & Statistics', 'Data Analysis', 'Exploratory Data Analysis']",['Google Career Certificates'],['https://www.coursera.org/instructor/google-career-certificates']
532,Intermediate level,University of Illinois Urbana-Champaign,https://www.coursera.org/partners/illinois,4.8,56,course,"['Tax Laws', 'Tax', 'Tax Planning', 'Corporate Tax', 'Tax Compliance', 'International Finance', 'Income Tax', 'Regulatory Compliance']",['Matthew Hutchens'],['https://www.coursera.org/instructor/matthew-hutchens']
224,Intermediate level,The University of Sydney,https://www.coursera.org/partners/sydney,4.8,35,course,"['General Mathematics', 'Arithmetic', 'Statistical Methods', 'Mathematics and Mathematical Modeling', 'Markov Model', 'Mathematical Theory & Analysis', 'Geometry', 'Probability', 'Applied Mathematics', 'Mathematical Modeling', 'Advanced Mathematics', 'Linear Algebra', 'Engineering Analysis', 'Algebra']",['David Easdown'],['https://www.coursera.org/instructor/david-easdown']
529,Intermediate level,California Institute of the Arts,https://www.coursera.org/partners/calarts,4.9,1298,course,"['Branding', 'Adobe InDesign', 'Style Guides', 'Adobe Photoshop', 'Brainstorming', 'Logo Design', 'Color Theory', 'Graphic and Visual Design', 'Creativity', 'Design Research', 'Typography', 'Design Elements And Principles']",['Michael Worthington'],['https://www.coursera.org/instructor/michael-worthington']
384,Beginner level,University of Virginia,https://www.coursera.org/partners/uva,4.6,1630,course,"['Systems Administration', 'Continuous Delivery', 'Test Automation', 'System Support', 'Agile Methodology', 'Information Technology Operations', 'Automation', 'DevOps', 'Software Development Tools', 'Software Testing', 'System Testing', 'CI/CD', 'Unit Testing', 'Continuous Integration', 'Continuous Improvement Process']",['Alex Cowan'],['https://www.coursera.org/instructor/cowan']
