Title,Index
Politics and Economics of International Energy | Coursera,0
Corporate Finance Essentials | Coursera,1
"ETL and Data Pipelines with Shell, Airflow and Kafka | Coursera",2
"Speak English Professionally: In Person, Online & On the Phone | Coursera",3
An Intuitive Introduction to Probability | Coursera,4
Leadership Skills | Coursera,5
Data Analysis with R | Coursera,6
Exploring Emerging Technologies for Lifelong Learning and Success | Coursera,7
Stepping Up: Preparing Yourself for Leadership | Coursera,8
Introduction to Artificial Intelligence (AI) by IBM | Coursera,9
Introduction to Programming with Python and Java | Coursera,10
Design Thinking for the Greater Good: Innovation in the Social Sector | Coursera,11
Meta Social Media Marketing Professional Certificate | Coursera,12
Sharpened Visions: A Poetry Workshop | Coursera,13
Introduction to Personal Branding | Coursera,14
Introduction to Academic Writing | Coursera,15
Sustainable Cities Specialization [4 courses] (Johns Hopkins) | Coursera,16
Neuroscience and Neuroimaging | Coursera,17
Accounting Analysis II: Measurement and Disclosure of Liabilities | Coursera,18
Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate | Coursera,19
Fundamentals of Financial Analysis | Coursera,20
Meta Data Analyst Professional Certificate | Coursera,21
Introduction to Healthcare | Coursera,22
An Introduction to Consumer Neuroscience & Neuromarketing | Coursera,23
Compliance and Risk Management | Coursera,24
The ABC of sustainability | Coursera,25
Microeconomics: The Power of Markets | Coursera,26
Regression & Forecasting for Data Scientists using Python | Coursera,27
Foundations of Management Consulting: Strategies & Tools | Coursera,28
Introduction to Vertex AI Studio | Coursera,29
Developing Websites and Front-Ends with Bootstrap | Coursera,30
The Path to Insights: Data Models and Pipelines | Coursera,31
Data Analysis and Visualization with Python | Coursera,32
Introduction to Deep Learning & Neural Networks with Keras | Coursera,33
Advanced R Programming | Coursera,34
Google SEO Capstone Project | Coursera,35
Team Building and Leadership in Project Management | Coursera,36
Medical Administrative Assistants and the Healthcare Team | Coursera,37
Introduction to Model-Based Systems Engineering | Coursera,38
Introduction to Generative AI in Human Resources | Coursera,39
Introduction to Data Analytics by IBM | Coursera,40
Microeconomics: When Markets Fail | Coursera,41
Career Planning: A Pathway to Employment | Coursera,42
Introduction to User Experience Design | Coursera,43
Introduction to Cognitive Psychology and Neuropsychology | Coursera,44
Transmedia Writing | Coursera,45
"Digital Marketing Strategy with Goldman Sachs 10,000 Women | Coursera",46
Fundamentals of Data Analytics in the Public Sector with R | Coursera,47
Question Reality: Cosmos | Coursera,48
Introduction to Microsoft Power Platform | Coursera,49
Decision-Making | Coursera,50
Introduction to Information Technology and AWS Cloud | Coursera,51
Payroll & HR Management | Coursera,52
Electric Vehicle Systems and Technologies | Coursera,53
"Innovation Through Design: Think, Make, Break, Repeat | Coursera",54
Account Management & Sales Force Design | Coursera,55
Mastering Azure Databricks for Data Engineers | Coursera,56
Data Modeling in Power BI | Coursera,57
Introduction to Environmental Law and Policy | Coursera,58
AI For Everyone | Coursera,59
Balance Sheet and Business Cases | Coursera,60
Introduction to Electronics | Coursera,61
Advanced Topics and Future Trends in Database Technologies | Coursera,62
"Creativity, Innovation and Transformation | Coursera",63
Data Analysis Using Python | Coursera,64
Relationship Management and Business Development | Coursera,65
Big Data Analysis with Scala and Spark | Coursera,66
Corporate Financial Decision-Making for Value Creation | Coursera,67
Data Analysis and Presentation Skills: the PwC Approach | Coursera,68
Introduction to Social Media Marketing | Coursera,69
Economía y Finanzas de Empresas | Coursera,70
Brand and Product Management | Coursera,71
Advanced Interviewing Techniques | Coursera,72
Entrepreneurship | Coursera,73
AWS Generative AI for Developers Professional Certificate | Coursera,74
Full Stack Web Development en Español Specialization [4 courses] (Universidad Austral) | Coursera,75
Leadership: Being a Confident and Effective Team Leader | Coursera,76
"Globalization, Economic Growth and Stability Specialization [3 courses] (IE Business School) | Coursera",77
Software Quality Assurance and Testing | Coursera,78
Hospitality Luxury Brand Management | Coursera,79
Digital Marketing | Coursera,80
Serverless Data Processing with Dataflow | Coursera,81
Microsoft 365 Copilot: Personal Productivity for All | Coursera,82
"Generative AI: Impact, Considerations, and Ethical Issues | Coursera",83
Local Economic Development | Coursera,84
Stepping Up: Leading Others | Coursera,85
English for Effective Business Writing | Coursera,86
Introduction to Financial Planning and Wealth Management | Coursera,87
Foundations of Cybersecurity | Coursera,88
Creative Problem Solving | Coursera,89
High-Impact Business Writing | Coursera,90
Energy and Environment | Coursera,91
Introduction to DevOps | Coursera,92
Visualization for Data Analysis with Power BI | Coursera,93
Brand Management: Strategies for a Strong Brand | Coursera,94
Better Business Writing in English | Coursera,95
Leading Healthcare Quality and Safety | Coursera,96
Essential Google Cloud Infrastructure: Foundation | Coursera,97
Fundamentals of Data Visualization | Coursera,98
Introduction to Web Development | Coursera,99
Marketing Verde | Coursera,100
Sustainable Digital Innovation | Coursera,101
E-commerce Academy | Coursera,102
AI Applications in People Management | Coursera,103
Principles of Economics: Introduction - Getting to Know You | Coursera,104
Creating a Healthy Culture: Addressing Workplace Bullying | Coursera,105
Microeconomics Principles | Coursera,106
Conflict Management Specialization [4 courses] (UC Davis) | Coursera,107
Data Science Math Skills | Coursera,108
The Full Stack | Coursera,109
Advanced Models for Decision Making | Coursera,110
Advanced Writing | Coursera,111
Leadership Communication for Maximum Impact: Storytelling | Coursera,112
Behavioral Finance | Coursera,113
Foundations of Digital Marketing and E-commerce by Google | Coursera,114
Innovation Management: Winning in the Age of Disruption | Coursera,115
Applied Cryptography Specialization [4 courses] (CU) | Coursera,116
An Introduction to American Law | Coursera,117
Essentials of Corporate Finance Specialization [5 courses] (UoM) | Coursera,118
IELTS Writing Section Skills Mastery | Coursera,119
Liderazgo de equipos | Coursera,120
Introduction to Corporate Sustainability | Coursera,121
Root Cause Analysis: Principles and Benefits | Coursera,122
Writing a Personal Essay | Coursera,123
經濟學概論：誘因與市場（Introduction to Economics: Incentive and Markets） | Coursera,124
Writing for Young Readers: Opening the Treasure Chest | Coursera,125
The Power of Statistics | Coursera,126
Generative AI for Healthcare | Coursera,127
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning | Coursera",128
Probability Foundations for Data Science and AI | Coursera,129
XML Foundations and Styling for Modern Web Developers | Coursera,130
VFX with Adobe After Effects from Novice to Expert | Coursera,131
Improving Communication Skills | Coursera,132
Business Writing | Coursera,133
Solving Problems with Creative and Critical Thinking | Coursera,134
التحدث والتواصل بثقة | Communicating With Confidence | Coursera,135
IBM AI Developer Professional Certificate | Coursera,136
Habilidades de negociación y comunicación efectiva | Coursera,137
"NoSQL, Big Data, and Spark Foundations Specialization [3 courses] (IBM) | Coursera",138
Financial Analysis - Skills for Success Specialization [3 courses] (UIUC) | Coursera,139
"Data Engineering, Big Data and ML on Google Cloud en Español Specialization [5 courses] (Google Cloud) | Coursera",140
Learn English: Advanced Academic Speaking and Listening | Coursera,141
Fundamentals of Project Planning and Management | Coursera,142
Start Writing Prompts like a Pro | Coursera,143
Medical Image Processing | Coursera,144
Credit Risk Modeling & its Application in Banks | Coursera,145
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity | Coursera,146
Agile Team Leadership | Coursera,147
Teamwork and Creativity | Coursera,148
Seaborn Python Data Visualization & Analysis | Coursera,149
"Recruiting, Hiring, and Onboarding Employees | Coursera",150
Financial Accounting Fundamentals | Coursera,151
Introduction to Business | Coursera,152
TQM Excellence: Lean Six Sigma & Quality Systems | Coursera,153
The Marketing Plan | Coursera,154
Hypothesis Testing in Public Health | Coursera,155
Supervised Machine Learning: Classification | Coursera,156
Introduction to Generative AI | Coursera,157
Structure: Building the Frame for Business Growth | Coursera,158
Generative AI for Human Resources (HR) Professionals | Coursera,159
Finding Purpose and Meaning In Life: Living for What Matters Most | Coursera,160
Fundamentals of Marketing Strategy | Coursera,161
Research Methodologies | Coursera,162
Google AI Essentials | Coursera,163
Natural Language Processing | Coursera,164
Business Strategy | Coursera,165
Java for Android | Coursera,166
Launch Your Online Business | Coursera,167
Astronomy: Exploring Time and Space | Coursera,168
"AI-Enhanced Copywriting: SurferSEO, Upword and Anyword | Coursera",169
Statistical Inference | Coursera,170
Agile with Atlassian Jira | Coursera,171
Social Media Content and Strategy | Coursera,172
Operations Analytics | Coursera,173
Deep Learning and Reinforcement Learning | Coursera,174
Accounting 2 | Coursera,175
Managing Cybersecurity Incidents and Disasters | Coursera,176
IBM Data Science Professional Certificate | Coursera,177
نماذج تقييم الأداء | Performance Management Models | Coursera,178
Managing Microsoft Teams (MS-700) | Coursera,179
Marketing Strategy | Coursera,180
Mindware: Critical Thinking for the Information Age | Coursera,181
Introduction to Economic Theories | Coursera,182
Management Foundations in the Hospitality Industry | Coursera,183
Security Governance & Compliance | Coursera,184
Business Analytics for Decision Making | Coursera,185
Introduction to Big Data with Spark and Hadoop | Coursera,186
Excel Basics for Data Analysis by IBM | Coursera,187
Deep Learning with Keras and Tensorflow | Coursera,188
Mathematics for Engineers | Coursera,189
Principles of fMRI 2 | Coursera,190
Introduction to Agile Development and Scrum | Coursera,191
Data Science Foundations | Coursera,192
Initiating and Planning Projects | Coursera,193
Financial Accounting: Foundations | Coursera,194
Hiring Practices | Coursera,195
Customer-Centric Innovation | Coursera,196
XHTML Front-End Web Design with CSS | Coursera,197
Introduction to Generative AI in Healthcare | Coursera,198
Technology & Entrepreneurship | Coursera,199
Generative AI for Digital Marketing | Coursera,200
Creative Thinking: Techniques and Tools for Success | Coursera,201
Culture-Driven Team Building Capstone | Coursera,202
Introduction to Corporate Finance | Coursera,203
Interest Rate Models | Coursera,204
Sustainability for Business: ESG Fundamentals | Coursera,205
Data Engineering Foundations Specialization [5 courses] (IBM) | Coursera,206
Valuation for Startups Using Discounted Cash Flows Approach | Coursera,207
Branding: The Creative Journey Specialization [4 courses] (IE Business School) | Coursera,208
Influencer Marketing Strategy | Coursera,209
Healthcare Analytics Essentials | Coursera,210
Banking & Finance in India | Coursera,211
Advanced Business Analytics: Excel Optimization & Simulation | Coursera,212
What is Data Science? | Coursera,213
Positive Psychology: Resilience Skills | Coursera,214
Marketing in a Digital World | Coursera,215
Programmatic Advertising | Coursera,216
Sustainable Food Production Through Livestock Health Management | Coursera,217
Power Pivot Fundamentals | Coursera,218
Leadership in 21st Century Organizations | Coursera,219
Viral Marketing and How to Craft Contagious Content | Coursera,220
Principles of Economics: Microeconomics - Down to Business | Coursera,221
English for Career Development | Coursera,222
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization | Coursera",223
Introduction to Linear Algebra | Coursera,224
Mathematical Foundations for Data Science and Analytics | Coursera,225
Experimentation for Improvement - Why is Experiment Important? | Coursera,226
Marketing Analytics | Coursera,227
Data Warehouse Fundamentals | Coursera,228
Game Theory by Stanford University & University of British Columbia | Coursera,229
IBM Full Stack Software Developer Professional Certificate | Coursera,230
Trade & investment: evidence-based policies for development | Coursera,231
Foundations of Project Management by Google | Coursera,232
Psychological First Aid by Johns Hopkins University | Coursera,233
The Strategy of Content Marketing | Coursera,234
IBM Business Analyst Professional Certificate | Coursera,235
Databases and SQL for Data Science with Python | Coursera,236
Mathematics for Engineering | Coursera,237
Overview of Advanced Methods of Reinforcement Learning in Finance | Coursera,238
"Influencing: Storytelling, Change Management and Governance | Coursera",239
Extraordinary Human Capital Management | Coursera,240
Introduction to Logic | Coursera,241
Competitive Strategy | Coursera,242
Meta React Native | Coursera,243
U.S. Federal Taxation | Coursera,244
Strategic Public Relations Planning | Coursera,245
Anatomy: Human Neuroanatomy | Coursera,246
مبادئ وأساسيات المحاسبة | What Accounting is all about | Coursera,247
Diseñando páginas web con Bootstrap 4 | Coursera,248
Practical Time Series Analysis | Coursera,249
Regression Models | Coursera,250
Meta Android UI Development | Coursera,251
Financial Statement Analysis | Coursera,252
Innovation: From Creativity to Entrepreneurship | Coursera,253
"Teach English Now! Second Language Listening, Speaking, and Pronunciation | Coursera",254
XML Practical - Web Service Parsing XML API | Coursera,255
Foundations of Data Science | Coursera,256
Create Easy Instagram Reels with Canva | Coursera,257
Business Analysis Process | Coursera,258
Collaborate Effectively for Professional Success | Coursera,259
Key Technologies for Business | Coursera,260
Riesgos y oportunidades empresariales en una economía globalizada | Coursera,261
Introduction to Structured Query Language (SQL) | Coursera,262
Factorial and Fractional Factorial Designs | Coursera,263
Fundamentos de la gestión del talento humano | Coursera,264
Introduction to Data Science | Coursera,265
Health Care Delivery in Healthcare Organizations | Coursera,266
