Title,Level,Organization,Organization_Link,Rating,Rating count,Course type,Skills,Courses,Courses_Link,Instructors,links
Practical Geospatial Geostatistical Modeling | Coursera,Intermediate level,Case Western Reserve University,https://www.coursera.org/partners/casewesternreserve,,,specialization,"R (Software), Oil and Gas, Box Plots, Data Analysis, Geospatial Information and Technology, Spatial Analysis, Exploratory Data Analysis, Ggplot2, Geographic Information Systems, Descriptive Statistics, Statistical Methods, Data Cleansing","Basic Principles of Geostatistical Geospatial Modeling, Using R for Geostatistical Geospatial Modeling, Case Studies in Geostatistical Modeling","https://www.coursera.org/learn/basic-principles-of-geostatistical-geospatial-modeling?specialization=geospatial-geostatistical-modeling, https://www.coursera.org/learn/using-r-for-geostatistical-geospatial-modeling?specialization=geospatial-geostatistical-modeling, https://www.coursera.org/learn/case-studies-in-geostatistical-modeling?specialization=geospatial-geostatistical-modeling",Instructor: Jeffrey Yarus,https://www.coursera.org/instructor/~77712487
Electric Vehicle Systems and Technologies | Coursera,Intermediate level,Coursera Instructor Network,https://www.coursera.org/partners/coursera-instructor-network,4.6,9,specialization,"Building Codes, Environmental Issue, Embedded Software, Automation, Sustainable Technologies, Geospatial Information and Technology, Electrical Safety, Electrical Systems, Electronic Components, Electrical Equipment, Environmental Regulations, Power Electronics","EV Evolution: Comprehensive Introduction to EVs, Mastering EV Cooling: Advanced Thermal Management, Creating EV Charging Hubs: Innovative Design, Behind the Scenes: Exploring EV Core Systems, Maximizing Miles: Enhancing EV Range & Efficiency, Bridging the Gap: EV Grid Integration & V2G Systems, Powering the Drive: Unveiling EV Electronics, Demystifying EV Batteries: Tech & Management, Plug Into The Future - EV Charging Essentials, Master Electric Vehicle Tech: Software Skills, Safety First: EV Maintenance & Best Practices, The Road to Autonomy: Exploring EV Technologies","https://www.coursera.org/learn/ev-evolution-comprehensive-introduction-to-evs?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/mastering-ev-cooling-advanced-thermal-management?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/creating-ev-charging-hubs-innovative-design?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/behind-the-scenes-exploring-ev-core-systems?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/maximizing-miles-enhancing-ev-range--efficiency?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/bridging-the-gap-ev-grid-integration--v2g-systems?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/powering-the-drive-unveiling-ev-electronics?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/demystifying-ev-batteries-tech--management?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/plug-into-the-future-ev-charging-essentials?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/master-electric-vehicle-tech-software-skills?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/safety-first-ev-maintenance--best-practices?specialization=electric-vehicle-systems-and-technologies, https://www.coursera.org/learn/the-road-to-autonomy-exploring-ev-technologies?specialization=electric-vehicle-systems-and-technologies","Prasanth Kumar Palani, Starweaver, Lluis Foreman","https://www.coursera.org/instructor/~139312198, https://www.coursera.org/instructor/~141793623, https://www.coursera.org/instructor/~148853199"
Software Quality Assurance and Testing | Coursera,Beginner level,Board Infinity,https://www.coursera.org/partners/board-infinity,,,specialization,"Test Automation, Integration Testing, Code Review, Test Execution Engine, Automation, Waterfall Methodology, Maintainability, Continuous Delivery, Technical Communication, Regression Testing, DevOps, Scalability","Introduction to Software Quality Assurance, Automation and Modern Testing Tools, Advanced Quality and Capstone Project, Practical Software Testing","https://www.coursera.org/learn/introduction-to-software-quality-assurance?specialization=software-quality-assurance-testing, https://www.coursera.org/learn/automation-and-modern-testing-tools?specialization=software-quality-assurance-testing, https://www.coursera.org/learn/advanced-quality-and-capstone-project?specialization=software-quality-assurance-testing, https://www.coursera.org/learn/practical-software-testing?specialization=software-quality-assurance-testing",Instructor: Board Infinity,https://www.coursera.org/instructor/board-infinity
Meta Android UI Development | Coursera,Beginner level,Meta,https://www.coursera.org/partners/meta,4.7,20,specialization,"Kotlin, Integrated Development Environments, Android Studio, Wireframing, Gradle, Prototyping, User Interface (UI) Design, Application Development, Object Oriented Programming (OOP), User Interface (UI), Android Development, Development Environment","Introduction to Android Mobile Application Development, Programming Fundamentals in Kotlin, Create the User Interface in Android Studio, Advanced Programming in Kotlin","https://www.coursera.org/learn/introduction-to-android-mobile-application-development?specialization=meta-android-ui-development, https://www.coursera.org/learn/meta-programming-fundamentals-kotlin?specialization=meta-android-ui-development, https://www.coursera.org/learn/create-the-user-interface-android-studio?specialization=meta-android-ui-development, https://www.coursera.org/learn/advanced-programming-in-kotlin?specialization=meta-android-ui-development",Instructor: Taught by Meta Staff,https://www.coursera.org/instructor/~30575670
Startup Entrepreneurship Specialization [4 courses] (TIIT) | Coursera,Beginner level,Technion - Israel Institute of Technology,https://www.coursera.org/partners/technion,4.8,"1,203",specialization,"Market Research, Value Propositions, Problem Solving, Thought Leadership, Business Strategy, Business Planning, Resourcefulness, Brainstorming, Initiative and Leadership, New Product Development, Visionary, Ideation","Cracking the Creativity Code: Discovering Ideas, From Idea to Startup, Innovation Career Lessons from a Master, Action-Driven Business Plan: From the ‘Classroom’ to the World","https://www.coursera.org/learn/startup-entrepreneurship-discovering-ideas?specialization=startup-entrepreneurship, https://www.coursera.org/learn/startup-entrepreneurship-from-idea-to-startup?specialization=startup-entrepreneurship, https://www.coursera.org/learn/startup-entrepreneurship-innovation-career-lessons?specialization=startup-entrepreneurship, https://www.coursera.org/learn/startup-entrepreneurship-capstone?specialization=startup-entrepreneurship","Dadi Perlmutter, Prof. (Emeritus) Shlomo Maital, , ","https://www.coursera.org/instructor/~19737032, https://www.coursera.org/instructor/smaital, https://www.coursera.org/instructor/~19737032, https://www.coursera.org/instructor/smaital"
Formwork for concreting | Coursera,Advanced level,L&T EduTech,https://www.coursera.org/partners/lntedutech,4.8,12,specialization,"Building Codes, Construction, Engineering Drawings, Architecture and Construction, Visualization (Computer Graphics), Safety Standards, Failure Analysis, Cost Estimation, Architectural Drawing, Construction Engineering, Engineering Practices, Construction Estimating","Formwork Systems, Design of Formwork System, Construction Aspects of Formwork","https://www.coursera.org/learn/formwork-systems?specialization=formwork-for-concreting, https://www.coursera.org/learn/designof-formwork-system?specialization=formwork-for-concreting, https://www.coursera.org/learn/construction-aspects-of-formwork?specialization=formwork-for-concreting",Instructor: Subject Matter Expert,https://www.coursera.org/instructor/~113266557
A Story of Economics: A Principles Tale | Coursera,Beginner level,Rice University,https://www.coursera.org/partners/rice,4.9,69,specialization,"International Relations, Investments, Fiscal Management, Market Dynamics, Cost Benefit Analysis, Supply And Demand, Tax, Economic Development, Consumer Behaviour, Business Metrics, International Finance, Business Economics","Principles of Economics: Introduction - Getting to Know You, Principles of Economics: Microeconomics - Down to Business, Principles of Economics: Macroeconomics - The Big Picture","https://www.coursera.org/learn/principles-of-economics-intro?specialization=principles-of-economics, https://www.coursera.org/learn/principles-of-economics-microeconomics?specialization=principles-of-economics, https://www.coursera.org/learn/principles-of-economics-macroeconomics?specialization=principles-of-economics",Instructor: James DeNicco,https://www.coursera.org/instructor/~134870502
"Influencing: Storytelling, Change Management and Governance | Coursera",Beginner level,Macquarie University,https://www.coursera.org/partners/macquarie,4.7,"1,586",specialization,"Communication, Stakeholder Management, Risk Management Framework, Risk Management, Process Management, Negotiation, Business Transformation, Organizational Change, Influencing, Meeting Facilitation, Change Management, Persuasive Communication","Leading transformations: Manage change, Negotiation skills: Negotiate and resolve conflict, Storytelling and influencing: Communicate with impact, Risk governance: Manage the risks","https://www.coursera.org/learn/change-management?specialization=influencing-storytelling-change-management, https://www.coursera.org/learn/negotiation-skills-conflict?specialization=influencing-storytelling-change-management, https://www.coursera.org/learn/communicate-with-impact?specialization=influencing-storytelling-change-management, https://www.coursera.org/learn/risk-governance-engage-the-board?specialization=influencing-storytelling-change-management","Dr Andrew Heys, Professor Elizabeth Sheedy, Arabella MacPherson, Brenda Santiago, Professor Richard Badham, Associate Professor Lawrence Ang, , , , , , ","https://www.coursera.org/instructor/andrew-heys, https://www.coursera.org/instructor/elizabeth-sheedy, https://www.coursera.org/instructor/arabellamacpherson, https://www.coursera.org/instructor/brenda-santiago, https://www.coursera.org/instructor/richard-badham, https://www.coursera.org/instructor/lawrence-ang, https://www.coursera.org/instructor/andrew-heys, https://www.coursera.org/instructor/elizabeth-sheedy, https://www.coursera.org/instructor/arabellamacpherson, https://www.coursera.org/instructor/brenda-santiago, https://www.coursera.org/instructor/richard-badham, https://www.coursera.org/instructor/lawrence-ang"
Advanced XML Integration and Project Applications | Coursera,Beginner level,EDUCBA,https://www.coursera.org/partners/educba,,,specialization,"Javascript and jQuery, Cascading Style Sheets (CSS), Web Services, Middleware, Scripting, Hibernate (Java), Android Development, Java, Web Applications, Mobile Development, Extensible Languages and XML, Web Development","XML Practical - XSLT and SVG Project, XML Practical - Web Service Parsing XML API, XML Practical - Web Development with XML, XML and Java, XML XSD","https://www.coursera.org/learn/xml-practical-xslt-and-svg-project?specialization=advanced-xml-integration-project-applications, https://www.coursera.org/learn/xml-practical-web-service-parsing-xml-api?specialization=advanced-xml-integration-project-applications, https://www.coursera.org/learn/xml-practical-web-development-with-xml?specialization=advanced-xml-integration-project-applications, https://www.coursera.org/learn/xml-and-java?specialization=advanced-xml-integration-project-applications, https://www.coursera.org/learn/xml-xsd?specialization=advanced-xml-integration-project-applications",Instructor: EDUCBA,https://www.coursera.org/instructor/~136048342
U.S. Federal Taxation | Coursera,Intermediate level,University of Illinois Urbana-Champaign,https://www.coursera.org/partners/illinois,4.8,762,specialization,"Payroll Tax, Income Tax, Tax, Mergers & Acquisitions, Corporate Tax, Fixed Asset, Capital Expenditure, Depreciation, Specialized Accounting, Liquidation, Tax Returns, Real Estate Transactions","Federal Taxation I: Individuals, Employees, and Sole Proprietors, Federal Taxation II: Property Transactions of Business Owners and Shareholders, Taxation of Business Entities I: Corporations, Taxation of Business Entities II: Pass-Through Entities","https://www.coursera.org/learn/federal-taxation-individuals?specialization=united-states-federal-taxation, https://www.coursera.org/learn/federal-taxation-business?specialization=united-states-federal-taxation, https://www.coursera.org/learn/taxation-business-entities-part-1?specialization=united-states-federal-taxation, https://www.coursera.org/learn/taxation-business-entities-part-2?specialization=united-states-federal-taxation","Michael P Donohoe, PhD, CPA, Matthew Hutchens, , , , ","https://www.coursera.org/instructor/michael-p-donohoe, https://www.coursera.org/instructor/matthew-hutchens, https://www.coursera.org/degrees/graduate-certificate-taxation-uiuc, https://www.coursera.org/degrees/imsa, https://www.coursera.org/instructor/michael-p-donohoe, https://www.coursera.org/instructor/matthew-hutchens"
